,noise_type,mia,acc,T,version,machine,rp
81,1.0,-0.004108428044543191,0.3,50.0,v8,becat,7.0
82,2.0,-0.007024614936964466,0.2718,50.0,v8,becat,7.0
83,5.0,0.005186526687300154,0.4252,50.0,v8,becat,7.0
84,10.0,0.015971769509698665,0.4671,50.0,v8,becat,7.0
85,100.0,0.007174203748000453,0.3882,50.0,v8,becat,7.0
86,1000.0,0.005286004429237438,0.3429,50.0,v8,becat,7.0
87,10000.0,0.0008995952428359939,0.332,50.0,v8,becat,7.0
88,0.01,0.008166562666393401,0.3055,50.0,v8,becat,8.0
89,0.05,0.020978406385191814,0.4386,50.0,v8,becat,8.0
90,0.1,0.007571265496318126,0.3258,50.0,v8,becat,8.0
91,0.5,0.01695544064941337,0.3865,50.0,v8,becat,8.0
92,1.0,0.014790085472635345,0.43,50.0,v8,becat,8.0
93,2.0,0.004390348301292854,0.4186,50.0,v8,becat,8.0
94,5.0,0.01715205881756566,0.4246,50.0,v8,becat,8.0
95,10.0,0.012126179797840555,0.4127,50.0,v8,becat,8.0
96,100.0,0.006876303939432064,0.3419,50.0,v8,becat,8.0
97,1000.0,0.004788516731797094,0.3706,50.0,v8,becat,8.0
98,10000.0,-0.002503130218118477,0.3628,50.0,v8,becat,8.0
99,0.01,0.010841023177874769,0.4155,50.0,v8,becat,9.0
100,0.05,9.999500033329732e-05,0.3289,50.0,v8,becat,9.0
101,0.1,0.0038924147153438535,0.3453,50.0,v8,becat,9.0
102,0.5,0.007174203748000453,0.3838,50.0,v8,becat,9.0
103,1.0,0.009257021262676848,0.4422,50.0,v8,becat,9.0
104,2.0,0.010346292054144267,0.4634,50.0,v8,becat,9.0
105,5.0,0.010049335853001438,0.4505,50.0,v8,becat,9.0
106,10.0,-0.0007002451143934259,0.375,50.0,v8,becat,9.0
107,100.0,0.0132123314721349,0.4613,50.0,v8,becat,9.0
108,1000.0,0.02810143011087478,0.4989,50.0,v8,becat,9.0
109,10000.0,0.014888612493750559,0.4258,50.0,v8,becat,9.0
110,0.01,-0.002503130218118477,0.2761,50.0,v8,becat,10.0
111,0.05,0.0040916179032535575,0.3512,50.0,v8,becat,10.0
112,0.1,-0.0011006054440330039,0.2953,50.0,v8,becat,10.0
113,0.5,0.006379606964038988,0.3916,50.0,v8,becat,10.0
114,1.0,0.01852730461388356,0.4865,50.0,v8,becat,10.0
115,2.0,0.012817503710614343,0.3972,50.0,v8,becat,10.0
116,5.0,0.01960652963891835,0.4502,50.0,v8,becat,10.0
117,10.0,0.004390348301292854,0.2152,50.0,v8,becat,10.0
118,100.0,0.01400151963581361,0.3943,50.0,v8,becat,10.0
119,1000.0,0.005286004429237438,0.2952,50.0,v8,becat,10.0
120,10000.0,0.007571265496318126,0.4008,50.0,v8,becat,10.0
