a1	a4	G_theta	G_k	U_b	U_a	epsilon	mia	obj	delta
0.1	0.1	1	2	1	0	0.01	0.008714436129532266	2.5	28.363164642804215
0.1	0.1	1	2	1	0	0.10966666666666666	-0.49412298048407904	2.5	8.171752705710802e-05
0.1	0.1	1	2	1	0	0.20933333333333334	-0.4883572056642354	2.5	2.3543755827061143e-10
0.1	0.1	1	2	1	0	0.309	-0.4818968814748282	2.5	6.783225807321615e-16
0.1	0.1	1	2	1	0	0.4086666666666667	-0.47475949832343983	2.5	1.9543250741764638e-21
0.1	0.1	1	2	1	0	0.5083333333333333	-0.4668740989379499	2.5	5.6306344562970814e-27
0.1	0.1	1	2	1	0	0.608	-0.4581622892802905	2.5	1.6222503000837527e-32
0.1	0.1	1	2	1	0	0.7076666666666667	-0.448537459414229	2.5	4.6738889845328884e-38
0.1	0.1	1	2	1	0	0.8073333333333333	-0.43790392245796833	2.5	1.346600967718117e-43
0.1	0.1	1	2	1	0	0.907	-0.4261559632967505	2.5	3.8797116753525014e-49
0.1	0.1	1	2	1	0	1.0066666666666666	-0.413176787598077	2.5	1.1177893856242636e-54
0.1	0.1	1	2	1	0	1.1063333333333334	-0.39883736068100467	2.5	3.220479291159421e-60
0.1	0.1	1	2	1	0	1.206	-0.3829951246959356	2.5	9.278569825562577e-66
0.1	0.1	1	2	1	0	1.3056666666666668	-0.3654925813615288	2.5	2.6732622763377898e-71
0.1	0.1	1	2	1	0	1.4053333333333333	-0.3461557261687703	2.5	7.701974908247679e-77
0.1	0.1	1	2	1	0	1.5050000000000001	-0.3247923184855757	2.5	2.21902721675863e-82
0.1	0.1	1	2	1	0	1.6046666666666667	-0.30118997036387646	2.5	6.393271657432779e-88
0.1	0.1	1	2	1	0	1.7043333333333333	-0.2751140350487395	2.5	1.841974815677843e-93
0.1	0.1	1	2	1	0	1.804	-0.24630527419777665	2.5	5.3069404889856236e-99
