G_theta	G_k	epsilon	mia	obj	delta
0.1	10.0	0.01	0.001005016708416795	0.5420702855281478	2.3696723628650055e-19
0.1	10.0	0.7575000000000001	0.1132937206493817	0.5420702855281478	6.628149186421228e-61
0.1	10.0	1.5050000000000001	0.31119308246722027	0.5420702855281478	1.853942440563421e-102
0.1	10.0	2.2525	0.3579455777605077	0.5420702855281478	5.185614379295631e-144
0.1	10.0	3.0	0.38008517265285446	0.5420702855281478	1.4504547661461899e-185
0.3020408163265306	10.0	0.01	0.001005016708416795	0.0022460191048300055	3.688240606113303e-24
0.3020408163265306	10.0	0.7575000000000001	0.1132937206493817	0.0022460191048300055	1.0316282265781004e-65
0.3020408163265306	10.0	1.5050000000000001	0.31119308246722027	0.0022460191048300055	2.885540591111811e-107
0.3020408163265306	10.0	2.2525	0.3579455777605077	0.0022460191048300055	8.071070845523774e-149
0.3020408163265306	10.0	3.0	0.38008517265285446	0.0022460191048300055	2.2575383203453044e-190
0.5040816326530613	10.0	0.01	0.001005016708416795	4.34920754175624e-05	2.1960550480440862e-26
0.5040816326530613	10.0	0.7575000000000001	0.1132937206493817	4.34920754175624e-05	6.142528692207585e-68
0.5040816326530613	10.0	1.5050000000000001	0.31119308246722027	4.34920754175624e-05	1.7181107899912704e-109
0.5040816326530613	10.0	2.2525	0.3579455777605077	4.34920754175624e-05	4.805683187820187e-151
0.5040816326530613	10.0	3.0	0.38008517265285446	4.34920754175624e-05	1.3441851966842186e-192
0.7061224489795919	10.0	0.01	0.001005016708416795	2.485969911487639e-06	7.543299586722533e-28
0.7061224489795919	10.0	0.7575000000000001	0.1132937206493817	2.485969911487639e-06	2.1099167885900337e-69
0.7061224489795919	10.0	1.5050000000000001	0.31119308246722027	2.485969911487639e-06	5.901593597859842e-111
0.7061224489795919	10.0	2.2525	0.3579455777605077	2.485969911487639e-06	1.6507194588264238e-152
0.7061224489795919	10.0	3.0	0.38008517265285446	2.485969911487639e-06	4.6171846410031936e-194
0.9081632653061225	10.0	0.01	0.001005016708416795	2.665386628755549e-07	6.089436000463655e-29
0.9081632653061225	10.0	0.7575000000000001	0.1132937206493817	2.665386628755549e-07	1.7032603707053506e-70
0.9081632653061225	10.0	1.5050000000000001	0.31119308246722027	2.665386628755549e-07	4.7641454646940665e-112
0.9081632653061225	10.0	2.2525	0.3579455777605077	2.665386628755549e-07	1.332566787740565e-153
0.9081632653061225	10.0	3.0	0.38008517265285446	2.665386628755549e-07	3.727288045565875e-195
1.1102040816326533	10.0	0.01	0.001005016708416795	4.283979876442682e-08	8.167738262988593e-30
1.1102040816326533	10.0	0.7575000000000001	0.1132937206493817	4.283979876442682e-08	2.2845769132942968e-71
1.1102040816326533	10.0	1.5050000000000001	0.31119308246722027	4.283979876442682e-08	6.390130908586925e-113
1.1102040816326533	10.0	2.2525	0.3579455777605077	4.283979876442682e-08	1.787366964590405e-154
1.1102040816326533	10.0	3.0	0.38008517265285446	4.283979876442682e-08	4.99939783990339e-196
1.3122448979591839	10.0	0.01	0.001005016708416795	9.122557219245447e-09	1.5343485190026163e-30
1.3122448979591839	10.0	0.7575000000000001	0.1132937206493817	9.122557219245447e-09	4.2916864994864717e-72
1.3122448979591839	10.0	1.5050000000000001	0.31119308246722027	9.122557219245447e-09	1.2004165143553527e-113
1.3122448979591839	10.0	2.2525	0.3579455777605077	9.122557219245447e-09	3.3576539388640796e-155
1.3122448979591839	10.0	3.0	0.38008517265285446	9.122557219245447e-09	9.391606861743103e-197
1.5142857142857145	10.0	0.01	0.001005016708416795	2.3883818324710243e-09	3.663989921976714e-31
1.5142857142857145	10.0	0.7575000000000001	0.1132937206493817	2.3883818324710243e-09	1.0248451305328836e-72
1.5142857142857145	10.0	1.5050000000000001	0.31119308246722027	2.3883818324710243e-09	2.866567768860824e-114
1.5142857142857145	10.0	2.2525	0.3579455777605077	2.3883818324710243e-09	8.018002455843998e-156
