Unnamed: 0,eps,distortion,clip,q,G_k,G_theta,tmia,mia,acc,T,version,machine
0,0.0660095718299721,1e-05,0.1,0.001,1.00001,1e-05,,,,,,
1,0.1000389864397288,1e-05,1.2139244620058345,0.004,6.432160804020101,1e-05,0.0105229509424727,0.0234235149435881,0.5069,50.0,v6,becat
2,0.2001488276333637,1e-05,0.447213595499958,0.004,39.84924623115578,1e-05,0.0221584550234188,0.0221528046411332,0.523,50.0,v6,becat
3,0.3000855833546632,1e-05,3.5,0.005,7.864321608040202,1e-05,0.0349974337964746,0.0213700257361925,0.4997,50.0,v6,becat
4,0.4007780142864268,1e-05,3.5,0.005,10.728643216080403,1e-05,0.0492985810191387,0.0398935636616766,0.5611,50.0,v6,becat
5,0.50050922099679,1e-05,1.2139244620058345,0.004,39.37185929648241,1e-05,0.064956104798699,0.0364283566135514,0.5138,50.0,v6,becat
6,0.6003777277394395,1e-05,3.5,0.004,16.457286432160807,1e-05,0.0822807195210695,0.0376810669676884,0.5498,50.0,v6,becat
7,0.7002244821788122,1e-05,5.0,0.002,13.592964824120603,1e-05,0.1014204809808398,0.0193123110323728,0.3959,50.0,v6,becat
8,0.8001598940391164,1e-05,2.0,0.001,39.37185929648241,1e-05,0.1225896807671464,0.0040916179032535,0.0224,50.0,v6,becat
9,0.9001535639551157,1e-05,3.5,0.003,25.05025125628141,1e-05,0.1459980846541241,0.011533235813673,0.3843,50.0,v6,becat
10,1.0008459948868789,1e-05,3.5,0.003,27.91457286432161,1e-05,0.1720582454008528,-0.0008003201707691,0.3126,50.0,v6,becat
11,1.1015384258186427,1e-05,3.5,0.003,30.77889447236181,1e-05,0.2008791267405905,0.0131136391453832,0.34,50.0,v6,becat
12,1.2022308567504052,1e-05,3.5,0.003,33.64321608040201,1e-05,0.2327531895781917,0.0072734839664984,0.3102,50.0,v6,becat
13,1.3007191101444942,1e-05,5.0,0.002,25.52763819095477,1e-05,0.2671936245035789,0.0172503534065276,0.4349,50.0,v6,becat
14,1.400041971483868,1e-05,5.0,0.003,27.43718592964824,1e-05,0.3013653543526749,0.004489905272852,0.268,50.0,v6,becat
15,1.5002077169485055,1e-05,5.0,0.005,29.34673366834171,1e-05,0.3107664731817061,0.02557027611153,0.5278,50.0,v6,becat
16,1.601756859612594,1e-05,3.5,0.002,45.10050251256281,1e-05,0.319383149777479,0.0222506089348197,0.4081,50.0,v6,becat
17,1.7035102797166777,1e-05,5.0,0.001,33.64321608040201,1e-05,0.3271826488052468,0.0250827803674632,0.0667,50.0,v6,becat
18,1.8051345976356663,1e-05,5.0,0.002,35.552763819095475,1e-05,0.3342190719224168,0.0142973047008243,0.3299,50.0,v6,becat
19,1.901213738110176,1e-05,5.0,0.002,37.462311557788944,1e-05,0.3402451231143568,0.0128175037106143,0.4449,50.0,v6,becat
20,2.0005365994495508,1e-05,5.0,0.003,39.37185929648241,1e-05,0.3458949272484842,-0.0036064955941117,0.3358,50.0,v6,becat
21,2.1007023449141875,1e-05,5.0,0.005,41.28140703517588,1e-05,0.3510518192802058,0.0356566772080346,0.5489,50.0,v6,becat
22,2.207925767207851,1e-05,5.0,0.001,43.66834170854271,1e-05,0.3560286282593783,-0.002002002670673,0.0397,50.0,v6,becat
23,2.30400490768236,1e-05,5.0,0.001,45.57788944723618,1e-05,0.3600567522891319,0.0183309566847234,0.0387,50.0,v6,becat
24,2.4096029967815333,1.1279341611148864e-05,5.0,0.001,42.23618090452261,1.1279341611148864e-05,0.3640596165551355,-0.0211214966221114,0.0423,50.0,v6,becat
25,2.50211491386773,1.1279341611148864e-05,5.0,0.004,43.66834170854271,1.1279341611148864e-05,0.3672353682519964,0.0172503534065276,0.4841,50.0,v6,becat
26,2.6050283407496524,1.1279341611148864e-05,5.0,0.002,45.57788944723618,1.1279341611148864e-05,0.3704395828972299,0.0046889894861314,0.3482,50.0,v6,becat
27,2.701322517483328,1.2722354718099426e-05,5.0,0.005,41.75879396984924,1.2722354718099426e-05,0.3731533235914963,0.0340148785872776,0.5424,50.0,v6,becat
28,2.81016138457488,1.2722354718099426e-05,5.0,0.001,43.66834170854271,1.2722354718099426e-05,0.3759218891923011,0.072134597759199,0.0222,50.0,v6,becat
29,2.901865815375632,1.2722354718099426e-05,5.0,0.001,45.10050251256281,1.2722354718099426e-05,0.3780317389591475,0.035463664275569,0.0278,50.0,v6,becat
30,3.003397626239818,1.2722354718099426e-05,5.0,0.003,46.53266331658291,1.2722354718099426e-05,0.3801527209758525,0.0067769842790236,0.3311,50.0,v6,becat
31,3.101355961215676,1.4349978496365466e-05,5.0,0.001,42.71356783919598,1.4349978496365466e-05,0.3820047364727886,-0.0203047533403642,0.0425,50.0,v6,becat
32,3.204808583962853,1.4349978496365466e-05,5.0,0.001,44.14572864321608,1.4349978496365466e-05,0.3837733335979268,-0.043116291073628,0.0594,50.0,v6,becat
33,3.308250972771479,1.4349978496365466e-05,5.0,0.001,45.57788944723618,1.4349978496365466e-05,0.3853679610313043,0.004788516731797,0.0309,50.0,v6,becat
34,3.421034602921987,1.618583095731464e-05,5.0,0.001,41.75879396984924,1.618583095731464e-05,0.3869285567760168,-0.0600685264661195,0.0562,50.0,v6,becat
35,3.506495890964812,1.618583095731464e-05,5.0,0.002,42.71356783919598,1.618583095731464e-05,0.3879992559006687,0.0087615056685726,0.3797,50.0,v6,becat
36,3.6155380795483945,1.618583095731464e-05,5.0,0.001,44.14572864321608,1.618583095731464e-05,0.389239021733525,-0.1169833554858191,0.0582,50.0,v6,becat
