,eps,distortion,clip,q,G_k,G_theta,tmia,mia,acc,T,version,machine
0,0.0660095718299721,1e-05,0.1,0.001,1.00001,1e-05,0.006930729568736305,0.01666044089310717,0.3409,50.0,v7,becat
1,0.1000389864397288,1e-05,1.2139244620058345,0.004,6.432160804020101,1e-05,0.010522950942472797,0.0017983819413793973,0.4191,50.0,v7,becat
2,0.2001488276333637,1e-05,0.447213595499958,0.004,39.84924623115578,1e-05,0.022158455023418844,0.01695544064941337,0.3373,50.0,v7,becat
3,0.3000855833546632,1e-05,3.5,0.005,7.864321608040202,1e-05,0.034997433796474686,0.01764343517259528,0.4334,50.0,v7,becat
4,0.4007780142864268,1e-05,3.5,0.005,10.728643216080403,1e-05,0.0492985810191387,0.03130484982841253,0.4797,50.0,v7,becat
5,0.50050922099679,1e-05,1.2139244620058345,0.004,39.37185929648241,1e-05,0.06495610479869901,0.010939940038334263,0.4845,50.0,v7,becat
6,0.6003777277394395,1e-05,3.5,0.004,16.457286432160807,1e-05,0.08228071952106958,-0.005917473764037623,0.305,50.0,v7,becat
7,0.7002244821788122,1e-05,5.0,0.002,13.592964824120603,1e-05,0.10142048098083989,0.014198719399812928,0.3242,50.0,v7,becat
8,0.8001598940391164,1e-05,2.0,0.001,39.37185929648241,1e-05,0.12258968076714649,0.007769737264360694,0.3451,50.0,v7,becat
9,0.9001535639551157,1e-05,3.5,0.003,25.05025125628141,1e-05,0.14599808465412417,0.01340968690991774,0.4452,50.0,v7,becat
10,1.0008459948868789,1e-05,3.5,0.003,27.91457286432161,1e-05,0.17205824540085285,0.01143437762566317,0.3342,50.0,v7,becat
11,1.1015384258186427,1e-05,3.5,0.003,30.77889447236181,1e-05,0.20087912674059055,0.01764343517259528,0.4504,50.0,v7,becat
12,1.2022308567504052,1e-05,3.5,0.003,33.64321608040201,1e-05,0.23275318957819174,0.011137744410456021,0.3915,50.0,v7,becat
13,1.3007191101444942,1e-05,5.0,0.002,25.52763819095477,1e-05,0.2671936245035789,0.012718772407774612,0.4761,50.0,v7,becat
14,1.400041971483868,1e-05,5.0,0.003,27.43718592964824,1e-05,0.3013653543526749,0.010742096531902029,0.4384,50.0,v7,becat
15,1.5002077169485055,1e-05,5.0,0.005,29.34673366834171,1e-05,0.3107664731817061,0.005484930230569745,0.4257,50.0,v7,becat
16,1.601756859612594,1e-05,3.5,0.002,45.10050251256281,1e-05,0.319383149777479,0.006081470315867954,0.4111,50.0,v7,becat
17,1.7035102797166777,1e-05,5.0,0.001,33.64321608040201,1e-05,0.3271826488052468,0.0017983819413793973,0.2034,50.0,v7,becat
18,1.8051345976356663,1e-05,5.0,0.002,35.552763819095475,1e-05,0.33421907192241684,0.0046889894861314695,0.2842,50.0,v7,becat
19,1.901213738110176,1e-05,5.0,0.002,37.462311557788944,1e-05,0.34024512311435684,0.0135083500247923,0.4247,50.0,v7,becat
20,2.0005365994495508,1e-05,5.0,0.003,39.37185929648241,1e-05,0.3458949272484842,0.011236631925987768,0.3627,50.0,v7,becat
21,2.1007023449141875,1e-05,5.0,0.005,41.28140703517588,1e-05,0.3510518192802058,0.018036362486098575,0.4813,50.0,v7,becat
22,2.207925767207851,1e-05,5.0,0.001,43.66834170854271,1e-05,0.3560286282593783,0.012817503710614343,0.3159,50.0,v7,becat
23,2.30400490768236,1e-05,5.0,0.001,45.57788944723618,1e-05,0.3600567522891319,-0.0011006054440330039,0.345,50.0,v7,becat
24,2.4096029967815333,1.1279341611148864e-05,5.0,0.001,42.23618090452261,1.1279341611148864e-05,0.3640596165551355,0.002596625847265914,0.3198,50.0,v7,becat
25,2.50211491386773,1.1279341611148864e-05,5.0,0.004,43.66834170854271,1.1279341611148864e-05,0.36723536825199643,0.013311014059672416,0.3791,50.0,v7,becat
26,2.6050283407496524,1.1279341611148864e-05,5.0,0.002,45.57788944723618,1.1279341611148864e-05,0.3704395828972299,0.015873349156290163,0.4304,50.0,v7,becat
27,2.701322517483328,1.2722354718099426e-05,5.0,0.005,41.75879396984924,1.2722354718099426e-05,0.3731533235914963,0.008563230660487814,0.3927,50.0,v7,becat
28,2.81016138457488,1.2722354718099426e-05,5.0,0.001,43.66834170854271,1.2722354718099426e-05,0.3759218891923011,0.02078253918252841,0.3905,50.0,v7,becat
29,2.901865815375632,1.2722354718099426e-05,5.0,0.001,45.10050251256281,1.2722354718099426e-05,0.37803173895914755,0.002995508979798371,0.4078,50.0,v7,becat
30,3.003397626239818,1.2722354718099426e-05,5.0,0.003,46.53266331658291,1.2722354718099426e-05,0.3801527209758525,0.005484930230569745,0.3499,50.0,v7,becat
31,3.101355961215676,1.4349978496365466e-05,5.0,0.001,42.71356783919598,1.4349978496365466e-05,0.3820047364727886,0.011236631925987768,0.4592,50.0,v7,becat
32,3.204808583962853,1.4349978496365466e-05,5.0,0.001,44.14572864321608,1.4349978496365466e-05,0.3837733335979268,0.014297304700824394,0.4606,50.0,v7,becat
33,3.308250972771479,1.4349978496365466e-05,5.0,0.001,45.57788944723618,1.4349978496365466e-05,0.3853679610313043,0.0040916179032535575,0.3762,50.0,v7,becat
34,3.421034602921987,1.618583095731464e-05,5.0,0.001,41.75879396984924,1.618583095731464e-05,0.38692855677601684,0.0,0.3848,50.0,v7,becat
35,3.506495890964812,1.618583095731464e-05,5.0,0.002,42.71356783919598,1.618583095731464e-05,0.38799925590066875,0.010742096531902029,0.3932,50.0,v7,becat
36,3.6155380795483945,1.618583095731464e-05,5.0,0.001,44.14572864321608,1.618583095731464e-05,0.389239021733525,0.02107632560191631,0.474,50.0,v7,becat
37,3.701175211772039,1.618583095731464e-05,5.0,0.002,45.10050251256281,1.618583095731464e-05,0.3901222047370357,0.019116117192230143,0.4154,50.0,v7,becat
38,3.8100096475849647,1.618583095731464e-05,5.0,0.001,46.53266331658291,1.618583095731464e-05,0.3911408138873481,0.0262523711440657,0.5113,50.0,v7,becat
39,3.903373796494627,1.825655166278605e-05,5.0,0.001,42.23618090452261,1.825655166278605e-05,0.39193050622868636,0.018821754240587667,0.456,50.0,v7,becat
40,4.004313549083389,1.825655166278605e-05,5.0,0.003,43.19095477386934,1.825655166278605e-05,0.39270527854659837,-0.002703651574314823,0.3408,50.0,v7,becat
41,4.122772679222821,1.825655166278605e-05,5.0,0.001,44.62311557788945,1.825655166278605e-05,0.39352018560060603,0.013607003406216947,0.4393,50.0,v7,becat
42,4.210522422779606,1.825655166278605e-05,5.0,0.001,45.57788944723618,1.825655166278605e-05,0.3940645542869214,0.010346292054144267,0.352,50.0,v7,becat
43,4.307140866392026,1.825655166278605e-05,5.0,0.002,46.53266331658291,1.825655166278605e-05,0.39461119485320784,0.015971769509698665,0.4471,50.0,v7,becat
44,4.403629554321758,2.059218828461517e-05,5.0,0.001,42.23618090452261,2.059218828461517e-05,0.3951068562392032,0.011928570865273812,0.4186,50.0,v7,becat
45,4.5026306660669935,2.059218828461517e-05,5.0,0.001,43.19095477386934,2.059218828461517e-05,0.39556807564652097,0.0021975835434872013,0.2724,50.0,v7,becat
46,4.601624697190618,2.059218828461517e-05,5.0,0.001,44.14572864321608,2.059218828461517e-05,0.3959857928740898,0.013113639145383204,0.3959,50.0,v7,becat
47,4.700611821641189,2.059218828461517e-05,5.0,0.001,45.10050251256281,2.059218828461517e-05,0.3963641143534867,0.005783244755727361,0.3817,50.0,v7,becat
48,4.8094493063381245,2.059218828461517e-05,5.0,0.002,46.05527638190955,2.059218828461517e-05,0.39673906083677024,0.00876150566857267,0.3369,50.0,v7,becat
49,4.912144697072032,2.32266326183272e-05,5.0,0.001,41.75879396984924,2.32266326183272e-05,0.3970573225916695,0.022837233902757128,0.5074,50.0,v7,becat
50,5.023824896645761,2.32266326183272e-05,5.0,0.001,42.71356783919598,2.32266326183272e-05,0.39736827466908536,0.012126179797840555,0.4429,50.0,v7,becat
51,5.100252108085396,2.32266326183272e-05,5.0,0.004,43.19095477386934,2.32266326183272e-05,0.3975619161119418,0.0004998750416509929,0.4746,50.0,v7,becat
52,5.202114691197759,2.32266326183272e-05,5.0,0.002,44.14572864321608,2.32266326183272e-05,0.39779803563333505,0.020684591192832603,0.4091,50.0,v7,becat
53,5.302991354134411,2.32266326183272e-05,5.0,0.001,45.10050251256281,2.32266326183272e-05,0.3980093261630093,0.011236631925987768,0.3931,50.0,v7,becat
54,5.414644486433153,2.32266326183272e-05,5.0,0.001,46.05527638190955,2.32266326183272e-05,0.3982196320424335,0.011928570865273812,0.3878,50.0,v7,becat
55,5.501057472553553,2.619811237787655e-05,5.0,0.004,41.28140703517588,2.619811237787655e-05,0.39836701917038303,-0.0011006054440330039,0.2645,50.0,v7,becat
56,5.604653847183591,2.619811237787655e-05,5.0,0.001,42.23618090452261,2.619811237787655e-05,0.3985277222373995,0.012323749688831903,0.4128,50.0,v7,becat
57,5.73062801004856,2.619811237787655e-05,5.0,0.001,43.19095477386934,2.619811237787655e-05,0.3987019845293346,0.002895803112025468,0.3329,50.0,v7,becat
58,5.805587646099716,2.619811237787655e-05,5.0,0.002,43.66834170854271,2.619811237787655e-05,0.39879572599366314,0.004888034072775866,0.4296,50.0,v7,becat
59,5.919572998228834,2.619811237787655e-05,5.0,0.001,44.62311557788945,2.619811237787655e-05,0.3989254611971932,0.033918218203460644,0.4359,50.0,v7,becat
60,6.001531502346196,2.619811237787655e-05,5.0,0.003,45.10050251256281,2.619811237787655e-05,0.3990100164530542,0.01656208829897823,0.5147,50.0,v7,becat
61,6.1084980389677055,2.619811237787655e-05,5.0,0.001,46.05527638190955,2.619811237787655e-05,0.3991104446002002,0.0046889894861314695,0.3991,50.0,v7,becat
62,6.20088927328102,2.954974590773365e-05,5.0,0.003,41.28140703517588,2.954974590773365e-05,0.3991889493119755,0.01577491911536224,0.4335,50.0,v7,becat
63,6.322897719533096,2.954974590773365e-05,5.0,0.001,42.23618090452261,2.954974590773365e-05,0.3992821058702626,0.008166562666393401,0.349,50.0,v7,becat
64,6.407185263743119,2.954974590773365e-05,5.0,0.002,42.71356783919598,2.954974590773365e-05,0.3993401354660603,0.002496880198587146,0.244,50.0,v7,becat
65,6.5360496115345725,2.954974590773365e-05,5.0,0.001,43.66834170854271,2.954974590773365e-05,0.3994199175697543,0.028587456851912472,0.4636,50.0,v7,becat
66,6.607093337095037,2.954974590773365e-05,5.0,0.001,44.14572864321608,2.954974590773365e-05,0.39945969894741623,0.02449747160038737,0.4983,50.0,v7,becat
67,6.704755315522833,2.954974590773365e-05,5.0,0.004,44.62311557788945,2.954974590773365e-05,0.39950997103060704,0.013607003406216947,0.3353,50.0,v7,becat
68,6.820214382749975,2.954974590773365e-05,5.0,0.001,45.57788944723618,2.954974590773365e-05,0.39956340523950723,0.009554212804811711,0.3302,50.0,v7,becat
69,6.905043475301534,2.954974590773365e-05,5.0,0.002,46.05527638190955,2.954974590773365e-05,0.39959891380642154,0.0006997551142732649,0.2356,50.0,v7,becat
70,7.001008190312923,3.33301678615976e-05,5.0,0.004,41.28140703517588,3.33301678615976e-05,0.39963561476869014,0.01695544064941337,0.4411,50.0,v7,becat
71,7.133169653209722,3.33301678615976e-05,5.0,0.001,42.23618090452261,3.33301678615976e-05,0.3996807258388946,0.01921421892380437,0.4248,50.0,v7,becat
72,7.2133196468762915,3.33301678615976e-05,5.0,0.001,42.71356783919598,3.33301678615976e-05,0.3997053170068024,0.002995508979798371,0.3582,50.0,v7,becat
73,7.308339735019751,3.33301678615976e-05,5.0,0.002,43.19095477386934,3.33301678615976e-05,0.39973202864483914,0.010049335853001438,0.4043,50.0,v7,becat
74,7.403013776730237,3.33301678615976e-05,5.0,0.004,43.66834170854271,3.33301678615976e-05,0.3997562346580185,0.010742096531902029,0.4141,50.0,v7,becat
75,7.533889472101004,3.33301678615976e-05,5.0,0.001,44.62311557788945,3.33301678615976e-05,0.39978613812686464,0.012817503710614343,0.4114,50.0,v7,becat
76,7.614023612442107,3.33301678615976e-05,5.0,0.001,45.10050251256281,3.33301678615976e-05,0.39980260708916826,0.0013990209137074087,0.2821,50.0,v7,becat
77,7.709525479482599,3.33301678615976e-05,5.0,0.002,45.57788944723618,3.33301678615976e-05,0.39982058629385775,0.0021975835434872013,0.3514,50.0,v7,becat
78,7.805004807342001,3.33301678615976e-05,5.0,0.004,46.05527638190955,3.33301678615976e-05,0.3998369242170643,0.006578315360122507,0.44,50.0,v7,becat
79,7.903033390338531,3.759423492678944e-05,5.0,0.005,41.28140703517588,3.759423492678944e-05,0.39985215174617905,0.009058844488346146,0.4722,50.0,v7,becat
80,8.047259437346806,3.759423492678944e-05,5.0,0.001,42.23618090452261,3.759423492678944e-05,0.3998720089437101,0.005286004429237438,0.396,50.0,v7,becat
81,8.137669063007715,3.759423492678944e-05,5.0,0.001,42.71356783919598,3.759423492678944e-05,0.3998830728883774,0.013014937077494544,0.3968,50.0,v7,becat
82,8.228076985976132,3.759423492678944e-05,5.0,0.001,43.19095477386934,3.759423492678944e-05,0.3998931802494028,0.01400151963581361,0.3862,50.0,v7,becat
83,8.318482590125058,3.759423492678944e-05,5.0,0.001,43.66834170854271,3.759423492678944e-05,0.3999024136881676,0.0030952049073025216,0.3136,50.0,v7,becat
84,8.408881910570726,3.759423492678944e-05,5.0,0.001,44.14572864321608,3.759423492678944e-05,0.3999108484335129,0.011335509663745679,0.4667,50.0,v7,becat
85,8.516290895965358,3.759423492678944e-05,5.0,0.002,44.62311557788945,3.759423492678944e-05,0.39991992778378865,0.013311014059672416,0.2358,50.0,v7,becat
