,clip,q,mia,acc,T,version,machine
0,0.1,0.0064,0.01242251999855711,0.2794,10.0,v8,becat
1,0.1,0.0064,0.01242251999855711,0.4027,10.0,v8,becat
2,0.1,0.0064,-0.0011006054440330039,0.3017,10.0,v8,becat
3,0.1,0.0064,-0.0016012813669738792,0.2079,10.0,v8,becat
4,0.1,0.0064,0.004290781417156246,0.3422,10.0,v8,becat
5,0.1,0.0064,0.0046889894861314695,0.4157,10.0,v8,becat
6,0.1,0.0064,0.006280237957150456,0.3071,10.0,v8,becat
7,0.1,0.0064,-0.003606495594111744,0.2214,10.0,v8,becat
8,0.1,0.0064,0.0015987213636970735,0.3751,10.0,v8,becat
9,0.1,0.0064,0.0007996801705642441,0.3436,10.0,v8,becat
10,0.1,0.0064,0.017250353406527672,0.4069,10.0,v8,becat
11,0.1,0.0064,-0.0005001250416822429,0.3817,20.0,v8,becat
12,0.1,0.0064,0.010346292054144267,0.37,20.0,v8,becat
13,0.1,0.0064,0.01666044089310717,0.3759,20.0,v8,becat
14,0.1,0.0064,0.006081470315867954,0.4247,20.0,v8,becat
15,0.1,0.0064,-0.010555513939516587,0.2827,20.0,v8,becat
16,0.1,0.0064,0.005484930230569745,0.2433,20.0,v8,becat
17,0.1,0.0064,0.011137744410456021,0.3204,20.0,v8,becat
18,0.1,0.0064,0.0132123314721349,0.3172,20.0,v8,becat
19,0.1,0.0064,0.0135083500247923,0.3952,20.0,v8,becat
20,0.1,0.0064,0.0003999200213268913,0.3446,20.0,v8,becat
21,0.1,0.0064,-0.0018016219466282088,0.271,20.0,v8,becat
22,0.1,0.0064,0.010445257861538604,0.3602,30.0,v8,becat
23,0.1,0.0064,-0.00030004500900199243,0.287,30.0,v8,becat
24,0.1,0.0064,0.019508466388043013,0.4808,30.0,v8,becat
25,0.1,0.0064,0.01705375456582762,0.4024,30.0,v8,becat
26,0.1,0.0064,-0.006722545760826811,0.2376,30.0,v8,becat
27,0.1,0.0064,0.019900661706336174,0.4683,30.0,v8,becat
28,0.1,0.0064,0.00876150566857267,0.276,30.0,v8,becat
29,0.1,0.0064,0.007868958378695197,0.4019,30.0,v8,becat
30,0.1,0.0064,0.011829751753577221,0.3729,30.0,v8,becat
31,0.1,0.0064,-0.0015011261262670914,0.2917,30.0,v8,becat
32,0.1,0.0064,0.011137744410456021,0.4338,30.0,v8,becat
33,0.1,0.0064,-0.010858743334875945,0.3486,40.0,v8,becat
34,0.1,0.0064,0.014691548742989682,0.3741,40.0,v8,becat
35,0.1,0.0064,0.010445257861538604,0.3994,40.0,v8,becat
36,0.1,0.0064,0.019998686506689123,0.365,40.0,v8,becat
37,0.1,0.0064,0.023618865598634027,0.4745,40.0,v8,becat
38,0.1,0.0064,0.01970458327433543,0.4113,40.0,v8,becat
39,0.1,0.0064,0.01143437762566317,0.3735,40.0,v8,becat
40,0.1,0.0064,0.004888034072775866,0.3012,40.0,v8,becat
41,0.1,0.0064,0.009554212804811711,0.3596,40.0,v8,becat
42,0.1,0.0064,0.01715205881756566,0.4942,40.0,v8,becat
43,0.1,0.0064,0.0037927982386962624,0.3163,40.0,v8,becat
44,0.1,0.0064,0.01764343517259528,0.3647,50.0,v8,becat
