a1	a4	G_theta	G_k	U_b	U_a	epsilon	mia	obj	delta
0.1	0.1	1	2	1	0	0.01	-0.07466979156908421	2.5	1.9137396999878453
0.1	0.1	1	2	1	0	0.10966666666666666	-0.494199184307793	2.5	5.513703343173799e-06
0.1	0.1	1	2	1	0	0.20933333333333334	-0.48835720588378734	2.5	1.588561106649927e-11
0.1	0.1	1	2	1	0	0.309	-0.48189688147482884	2.5	4.57682655829692e-17
0.1	0.1	1	2	1	0	0.4086666666666667	-0.47475949832343983	2.5	1.3186361706228163e-22
0.1	0.1	1	2	1	0	0.5083333333333333	-0.4668740989379499	2.5	3.7991418908429034e-28
0.1	0.1	1	2	1	0	0.608	-0.4581622892802905	2.5	1.0945763075754312e-33
0.1	0.1	1	2	1	0	0.7076666666666667	-0.448537459414229	2.5	3.153599753652916e-39
0.1	0.1	1	2	1	0	0.8073333333333333	-0.43790392245796833	2.5	9.085882215255576e-45
0.1	0.1	1	2	1	0	0.907	-0.4261559632967505	2.5	2.6177467680822055e-50
0.1	0.1	1	2	1	0	1.0066666666666666	-0.413176787598077	2.5	7.542028368251495e-56
0.1	0.1	1	2	1	0	1.1063333333333334	-0.39883736068100467	2.5	2.1729447859917063e-61
0.1	0.1	1	2	1	0	1.206	-0.3829951246959356	2.5	6.260502894479737e-67
0.1	0.1	1	2	1	0	1.3056666666666668	-0.3654925813615288	2.5	1.8037226138675407e-72
0.1	0.1	1	2	1	0	1.4053333333333333	-0.3461557261687703	2.5	5.196731512808625e-78
0.1	0.1	1	2	1	0	1.5050000000000001	-0.3247923184855757	2.5	1.4972378906039864e-83
0.1	0.1	1	2	1	0	1.6046666666666667	-0.30118997036387646	2.5	4.3137139094737996e-89
0.1	0.1	1	2	1	0	1.7043333333333333	-0.2751140350487395	2.5	1.2428304018729584e-94
0.1	0.1	1	2	1	0	1.804	-0.24630527419777665	2.5	3.5807367855975273e-100
0.1	0.1	1	2	1	0	1.9036666666666666	-0.21447728061910737	2.5	1.0316512943688274e-105
0.1	0.1	1	2	1	0	2.0033333333333334	-0.179313630905588	2.5	2.9723055809455246e-111
0.1	0.1	1	2	1	0	2.1029999999999998	-0.14046473965773493	2.5	8.563552931831965e-117
0.1	0.1	1	2	1	0	2.2026666666666666	-0.09754438402106541	2.5	2.467257716918701e-122
0.1	0.1	1	2	1	0	2.3023333333333333	-0.05012586398595403	2.5	7.108452169504646e-128
0.1	0.1	1	2	1	0	2.4019999999999997	0.0022622397230282476	2.5	2.048026515415828e-133
0.1	0.1	1	2	1	0	2.5016666666666665	0.06014075234195676	2.5	5.900599044388518e-139
0.1	0.1	1	2	1	0	2.6013333333333333	0.12408508294014747	2.5	1.7000301910431805e-144
0.1	0.1	1	2	1	0	2.7009999999999996	0.19473094494720705	2.5	4.897981762050026e-150
0.1	0.1	1	2	1	0	2.8006666666666664	0.2727806762061305	2.5	1.4111646644729474e-155
0.1	0.1	1	2	1	0	2.900333333333333	0.35901022138432387	2.5	4.065727083115071e-161
0.1	0.1	1	2	1	0	3.0	0.4027022850505293	2.5	1.1713825558797695e-166
0.1	0.1	1	2	2	1	0.01	0.45	3.5	14897.96101985667
0.1	0.1	1	2	2	1	0.10966666666666666	-0.4533625733555771	3.5	0.042922732638183934
0.1	0.1	1	2	2	1	0.20933333333333334	-0.4883570822343623	3.5	1.2366531062025438e-07
0.1	0.1	1	2	2	1	0.309	-0.48189688147447257	3.5	3.5629392890049544e-13
0.1	0.1	1	2	2	1	0.4086666666666667	-0.47475949832343983	3.5	1.0265236316849474e-18
0.1	0.1	1	2	2	1	0.5083333333333333	-0.4668740989379499	3.5	2.9575321972492804e-24
0.1	0.1	1	2	2	1	0.608	-0.4581622892802905	3.5	8.520989120736182e-30
0.1	0.1	1	2	2	1	0.7076666666666667	-0.448537459414229	3.5	2.4549945952654346e-35
0.1	0.1	1	2	2	1	0.8073333333333333	-0.43790392245796833	3.5	7.073120710969508e-41
0.1	0.1	1	2	2	1	0.907	-0.4261559632967505	3.5	2.037847117400136e-46
0.1	0.1	1	2	2	1	1.0066666666666666	-0.413176787598077	3.5	5.8712710323967865e-52
0.1	0.1	1	2	2	1	1.1063333333333334	-0.39883736068100467	3.5	1.69158045476149e-57
0.1	0.1	1	2	2	1	1.206	-0.3829951246959356	3.5	4.873637103690345e-63
0.1	0.1	1	2	2	1	1.3056666666666668	-0.3654925813615288	3.5	1.404150689469605e-68
0.1	0.1	1	2	2	1	1.4053333333333333	-0.3461557261687703	3.5	4.045519017501502e-74
0.1	0.1	1	2	2	1	1.5050000000000001	-0.3247923184855757	3.5	1.165560380641762e-79
